x,y,z
512988.75,5258974.5,404
510894.12,5264504.67,0
514092.79,5266801.44,4
505562.64,5264260.63,0
510917.94,5261573.22,67
510787.52,5262544.57,132
506288.5,5267628.53,298
508812.15,5261018.29,220
515150.31,5263953.63,725
507822.53,5264218.99,61
513932.22,5260253.91,140
514189.4,5259673.56,145
511135.54,5264160.38,63
508112.36,5262455.65,64
505406.82,5265428.47,198
512625.74,5259128.85,379
506340.59,5259368.56,261
506724.87,5267442.37,401
505046.8,5264191.31,9
511487.88,5268069.5,280
509907.61,5259933.81,202
508107.03,5267293.94,540
506925.53,5259089.52,232
509705.26,5262067.74,80
511735.84,5261403.72,58
515154.32,5260406.49,450
514199.61,5262480.35,328
507413.66,5267077.89,454
511181.54,5258934.78,316
509501.08,5260460.61,135
510217.19,5263195.65,62
513919.27,5259325.02,391
512366.07,5258908.77,257
509209.19,5268298.4,625
512735.21,5259122.02,388
506475.4,5260525.44,241
511623.19,5259737.05,151
509160.75,5267807.42,498
512948.87,5265193.47,328
511003.28,5266651.25,147
510237.19,5261132.57,109
514095.8,5266883.12,3
514996.55,5259048.66,291
512491.03,5266285.41,3
511588.73,5260234.61,112
514878.63,5263124.38,520
509851.2,5264746.39,0
512459.27,5261223.95,103
512431.94,5258510.81,308
511881.01,5261756.64,90
510832.36,5265617.99,32
507527.38,5264181.39,56
505915.28,5266606.54,170
513052.58,5260811.36,87
514929.34,5260727.5,381
508202.88,5258696.68,266
509239.21,5263561.45,3
512352.74,5262491.44,258
511054.63,5264519.32,0
514071.99,5267547.92,0
506540.46,5267252.06,349
505891.15,5261432.84,141
511129.55,5261272.3,98
511748.37,5268181.47,250
507706.37,5260946.46,309
512074.18,5261508.75,102
512676.61,5260427.29,127
505517.12,5263847.91,16
510339.59,5262992.41,59
514065.7,5258396.15,507
509430.56,5263186.52,17
505832.25,5265668.39,318
509388.35,5266184.54,301
505603.25,5263014.87,20
511773.35,5267777.75,266
506336.99,5259175.58,207
511986.67,5261781.47,114
515194.25,5267810.52,0
506824.16,5258570.3,183
506477.62,5265316.31,156
512915.79,5263432.55,458
509863.59,5262624.24,44
506285.97,5267464.64,368
514408.6,5259067.95,266
515137.07,5258510.87,222
514071.55,5262769.15,271
512806.98,5263312.56,403
508728.72,5261504.77,180
511060.05,5265753.62,22
510491.14,5262254.79,55
514409.28,5259456.47,155
510871.26,5266059.29,56
511138.27,5265201.2,0
514282.51,5266509.16,107
505553.43,5259140.04,122
511056.13,5263871.15,143
512758.11,5261743.85,222
505380.6,5261452.59,96
513800.93,5259724.62,224
508952.92,5259462.35,203
514790.85,5259574.48,232
514766.13,5266965.41,90
515019.85,5265469.65,280
507252.91,5258975.69,347
506110.93,5266718.32,266
510822.05,5265961.62,57
505420.29,5263441.42,26
509479.93,5259117.34,238
506862.25,5258559.84,185
512020.2,5267331.81,123
512755.03,5265947.03,73
512551.65,5261981.77,250
509567.72,5260091.9,174
512270.43,5262439.72,248
512644.41,5259626.32,295
506104.07,5265502.88,187
510803.92,5263686.13,100
505690.27,5264469.45,1
512479.79,5266963.29,11
505824.93,5267126.93,189
505390.55,5260180.14,143
506986.45,5264413.17,128
506274.06,5259323.69,243
510302.06,5268059.83,398
509597.55,5260187.35,193
513278.72,5261516.32,219
506075.82,5259379.19,226
506404.58,5264201,0
514114.71,5266715.16,13
512371.08,5265719.86,76
512328.81,5260343.71,159
506815.15,5259240.75,244
507390.5,5259218.08,338
505393.5,5261352.89,121
512755.06,5266650.27,0
514043.95,5266590.8,32
514478.37,5259222.78,184
512267.49,5263966.11,332
507854.23,5259050.17,390
506029,5266969,163
510208.93,5263110.02,42
506485.58,5267392.66,387
511506.28,5265072.35,0
509303.38,5266867.3,317
507012.84,5267233.74,444
514263.01,5260244.13,212
507767.77,5268030.77,492
511840.91,5260047.94,132
511718.22,5262390.23,196
508375.43,5266020.67,266
511675.11,5260409.19,98
508498.37,5267383.55,575
512399.06,5264816.1,178
514497.22,5259546.19,205
511434.29,5264299.22,74
513575.21,5267520.35,4
513076.22,5266643.58,0
514860.63,5267464.59,0
511234.13,5265123.92,0
508991.42,5258335.89,176
509321.51,5261949.48,208
510362.28,5264383.44,4
512209.61,5268168.92,118
505944.56,5261389.24,161
508791.66,5268253.6,593
505491.99,5259932.76,227
511114.51,5266846.83,206
515224.01,5262295.53,619
505293.39,5260115.02,158
511063.04,5262878.31,124
513408.98,5261804.81,188
505667.97,5266461.45,153
505451.74,5259431.38,170
505143.05,5264569.17,27
506636.97,5260105.93,308
509256.08,5261211.2,79
513324.4,5259630.12,310
514240.59,5266685.98,56
507061.64,5258395.44,220
509564.86,5260956.01,87
505861.67,5258361.39,185
506300.14,5263723.78,30
509625.35,5268139.5,517
513350.22,5265996.62,61
513588.88,5261418.65,223
507188.68,5261100.31,168
514684.17,5261504.57,409
506367.56,5268195.44,151
512628.81,5265440.43,117
506243.74,5259904.81,307
514131.44,5266604.57,42
514162.42,5262236.74,350
511655.22,5261674.41,73
512510.14,5262849.72,255
510635.11,5265912.28,76
506426.08,5262866.1,48
510327.36,5267750.32,481
509812.36,5264379.11,0
508912.5,5265204.19,78
514885.64,5261944.25,526
512550.96,5265151.95,188
515213.95,5262801.91,634
514819.4,5259920.61,287
513038.95,5265482.78,298
508350.98,5264481.8,60
507988.66,5263192.45,0
509629.36,5261788.82,56
505865.41,5259741.92,283
510271.92,5264195.66,16
506757.57,5261463.51,187
512527.84,5260118.32,160
512643.23,5263384.95,405
505776.05,5262651.97,56
510629.14,5263575.83,101
514564.67,5263875.31,609
513494.46,5264943.49,227
510047.97,5260479.49,168
507022.15,5266840.08,356
512463.29,5259336.84,338
514810.14,5261648.4,470
506971.19,5261976.2,86
514089.1,5264181.4,506
505640.55,5266406.49,178
508787.53,5267993.76,603
511336.62,5261759.32,58
514710.24,5265762.79,293
505033.18,5265727.66,180
510443.3,5267694.72,458
513297.13,5261111.42,139
509119.29,5264593.9,21
509278.24,5259627.75,234
512162.63,5262052.87,208
508565.22,5267000.54,429
505650.77,5264511.74,0
513039.36,5266316.8,3
514542.03,5268130.07,0
510790.79,5263755.13,81
505457.46,5262420.93,45
510333.6,5267614.43,443
513503.54,5259098.34,533
506653.52,5262610.17,78
508205.92,5259276.23,229
515236.88,5261785.99,628
506853.45,5261762.75,122
513576.08,5265484.24,107
508710.95,5264137.15,17
506710.75,5259810.66,298
512399.17,5267430.93,82
510492.55,5264962.89,26
509463.93,5258854.77,255
514663.09,5268092.82,0
514781.27,5263453.8,591
513093.62,5258703.7,458
514746.43,5261754.91,466
509556.35,5260502.89,141
514839.21,5267460.15,0
509316.79,5261364.07,103
513175.32,5267905.66,100
514193.25,5265111.95,231
506781.73,5264134.59,35
515241.52,5265619.5,279
506096.32,5265259.06,98
510501.51,5263076.68,78
514026.29,5259648.74,201
508910.29,5264782.56,40
511126.24,5268101.43,270
509709.09,5267371.17,413
513840.61,5261489.91,269
512214,5262958.91,268
514000.41,5266944.55,0
511531.37,5262092,183
513129.42,5260920.95,93
514584.79,5261071.02,297
505990.89,5262011.68,169
512824.24,5261171.91,103
510754.75,5262862.95,108
506448.4,5264548.92,88
514002.36,5259042.93,439
514557.02,5267470.25,0
505574.93,5261264.49,132
510670.02,5261459.3,90
512031.35,5266963.78,66
509432.61,5266110.85,293
508207.75,5260460.42,328
514398.11,5268035.84,0
513081.61,5264107.06,468
515053.38,5258406.42,236
505524.52,5267357.28,112
505463.95,5260609.35,252
509476.97,5264916.22,47
511606.28,5260068.78,126
507242.8,5264904.51,185
512365.6,5263404.3,396
514990.79,5265123.3,397
505510.66,5266366.47,170
505201.47,5258694,202
508279.46,5266243.04,291
512973.84,5266146.75,28
514609.03,5265612.65,382
514146.76,5264567.12,467
510104.66,5261514.54,83
509045.79,5268376.13,589
506119.74,5262350.06,139
513142.23,5258348.72,540
508178.37,5262729.16,57
514089.13,5264487.35,486
515251.43,5263080.41,648
506660.6,5262400.86,108
508360.97,5258888.3,185
508721.86,5265470.58,132
512778.62,5267688.49,46
515214.69,5266727.79,90
514165.76,5265001.44,280
514222.71,5267979.73,0
508016.61,5266951.7,528
509578.37,5258606.41,292
507738.51,5261458.08,244
511770.61,5260206.59,118
512110.49,5258770.97,249
515200.83,5263002.9,639
506670.21,5263835.47,2
511617.81,5261344.92,58
